Port_Consolidated,Port_Calls,Total_Revenue,Pct_Revenue
Houston,6444,24703400,17.6
South Florida,6651,12609450,9.0
Sabine River,2484,10437200,7.4
New York,3641,9219800,6.6
South Texas,1818,8967150,6.4
New Orleans,1876,8625550,6.1
Mobile,1721,7756150,5.5
LA-Long Beach,2879,7278950,5.2
Hampton Roads,1817,5860600,4.2
Baltimore,1688,5638700,4.0
Columbia River,785,5397750,3.8
North Florida,1879,4744500,3.4
Georgia Ports,2239,4236500,3.0
Lake Charles,717,3608250,2.6
San Franciso,1379,3348600,2.4
Delaware River,1291,3325150,2.4
Seattle-Tacoma,1133,3080250,2.2
Tampa,665,3008700,2.1
South Carolina Ports,1314,2191700,1.6
Boston,701,1973450,1.4
North Carolina Ports,516,1450950,1.0
Toledo-Cleveland,195,1206500,0.9
Land Ports,249,854500,0.6
Detroit-Milwaukee,90,439500,0.3
Duluth,55,292000,0.2
Chicago,38,197500,0.1
