Agent,EventCount,Note
Southport,36806,
Norton Lilly,26041,
Norton Lilly Dest,23590,
Blue Water,21000,
T Parker,20077,
Inchcape,16489,
Bertel,13527,
Gulf Inland,12624,
General Steamship,10950,
General Maritime,10556,
Moran Shipping,9496,
Nova,8707,
Tricon,8516,
GAC,8147,
Newship,7793,
Biehl,7175,
Gulf Harbor,6099,
Celtic,5078,
Transmarine,5022,
NordSud,4938,
NolaPort,3876,
Revelle,3070,
Riverbend,2928,
Maritime Endeavors,2912,
K3 Maritime,2560,
Riley-Sherman,2104,
K&C,1631,
Lighthouse,1576,
Fillette Green,1507,
Wilhelmsen,1235,
Lott,1128,
Seaport Hub,959,
VertomCory,681,
Mentz,681,
Capes Shipping,516,
Valhalla,460,
Riverside,430,
Navigo,258,
Intercruises,153,
Page and Jones,84,
Capes Southport,2,
